CO,NO2,PM2.5,SO2,source_label,health_impact,Precautionary_Measures,AQI
3.064,13.77,96.89,8.34,Domestic cooking/heating smoke,Unhealthy,Avoid all non-essential outdoor physical exertion,49.977
4.293,10.24,119.31,2.6,Domestic cooking/heating smoke,Unhealthy,Postpone outdoor sports and strenuous activities today,61.8015
8.842,40.14,56.24,5.39,Traffic congestion,Unhealthy,Postpone outdoor sports and strenuous activities today,32.541
4.345,10.21,155.56,9.26,Biomass burning,Very unhealthy,Use an air filter or purifier in your home,79.9525
4.463,14.17,119.48,8.98,Domestic cooking/heating smoke,Unhealthy,Consider wearing an N95 respirator mask outdoors,61.9715
4.446,3.92,153.68,2.81,Biomass burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,79.063
4.378,15.68,127.77,1.52,Domestic cooking/heating smoke,Unhealthy,Avoid all non-essential outdoor physical exertion,66.074
6.323,33.4,201.17,7.22,Waste burning,Hazardous,Use high-quality N95 respirator masks if unavoidable,103.7465
3.87,77.14,75.37,23.12,Industrial emissions,Unhealthy,Postpone outdoor sports and strenuous activities today,39.62
1.105,1.72,143.58,5.3,Construction dust,Unhealthy,Use an air purifier to improve indoor air quality,72.3425
2.233,27.37,46.31,34.59,Power plant emissions,Unhealthy for sensitive groups,Children and seniors should reduce prolonged exertion outside,24.2715
4.497,31.88,245.67,2.66,Waste burning,Very unhealthy,It is strongly advised to remain indoors now,125.0835
1.542,68.83,114.17,16.81,Industrial emissions,Unhealthy,Ensure proper ventilation with an air filter system,57.856
7.544,34.81,59.1,9.86,Traffic congestion,Unhealthy,Stay indoors with windows and doors securely closed,33.322
1.075,12.61,0.84,1.83,Natural background air,Moderate,Be mindful of your body's health reactions,0.9575
3.42,73.28,98.77,36.38,Industrial emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,51.095
5.254,1.42,90.54,3.55,Biomass burning,Unhealthy,Avoid all non-essential outdoor physical exertion,47.897
0.131,8.24,226.77,6.53,Construction dust,Very unhealthy,Use an air filter or purifier in your home,113.4505
3.945,1.85,94.42,8.04,Domestic cooking/heating smoke,Unhealthy,Postpone outdoor sports and strenuous activities today,49.1825
3.77,13.08,104.57,5.65,Biomass burning,Unhealthy,Wear a high-efficiency particulate air mask outdoors,54.17
2.821,12.2,68.32,4.6,Domestic cooking/heating smoke,Unhealthy,Wear a high-efficiency particulate air mask outdoors,35.5705
9.351,47.56,38.15,0.94,Traffic congestion,Unhealthy for sensitive groups,People with respiratory issues must stay indoors,23.7505
1.763,7.73,259.66,5.62,Construction dust,Hazardous,All outdoor activity must cease for a short period,130.7115
0.303,4.27,188.3,7.56,Construction dust,Very unhealthy,Avoid exposure to outdoor air as much as possible,94.3015
5.554,71.14,52.98,6.95,Traffic congestion,Unhealthy for sensitive groups,Monitor your symptoms and seek medical advice,29.267
1.599,29.41,43.59,44.66,Power plant emissions,Unhealthy for sensitive groups,Limit time spent in high-traffic or dusty areas,22.5945
7.063,60.17,27.35,7.5,Traffic congestion,Moderate,Enjoy outdoor activities but with caution,17.2065
4.762,1.0,86.94,2.08,Domestic cooking/heating smoke,Unhealthy,Consider wearing an N95 respirator mask outdoors,45.851
0.596,1.9,271.82,3.62,Construction dust,Hazardous,All individuals should immediately seek indoor shelter,136.208
4.494,15.15,101.14,0.59,Waste burning,Unhealthy,Wear a high-efficiency particulate air mask outdoors,52.817
1.458,13.12,289.03,8.05,Construction dust,Hazardous,Evacuate from affected areas if public safety permits,145.244
6.969,14.2,118.93,1.01,Waste burning,Unhealthy,Ensure proper ventilation with an air filter system,62.9495
3.604,49.68,98.79,36.11,Industrial emissions,Unhealthy,Ensure proper ventilation with an air filter system,51.197
1.985,32.54,53.2,28.13,Power plant emissions,Unhealthy for sensitive groups,Children and seniors should reduce prolonged exertion outside,27.5925
4.044,7.43,81.16,3.0,Biomass burning,Unhealthy,Wear a high-efficiency particulate air mask outdoors,42.602
0.39,7.37,291.14,3.84,Construction dust,Hazardous,All individuals should immediately seek indoor shelter,145.765
4.882,25.64,186.17,2.77,Waste burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,95.526
1.864,4.18,23.76,0.32,Natural background air,Moderate,Continue with normal activities but remain vigilant,12.812
0.573,6.36,16.25,0.12,Natural background air,Moderate,Keep an eye on air quality updates hourly,8.4115
2.489,5.85,63.11,8.35,Domestic cooking/heating smoke,Unhealthy,Avoid all non-essential outdoor physical exertion,32.7995
1.629,14.04,212.92,9.5,Construction dust,Very unhealthy,"Cancel all outdoor activities, including school sports",107.2745
8.896,77.42,59.51,7.53,Traffic congestion,Unhealthy,Ensure proper ventilation with an air filter system,34.203
2.361,54.06,37.33,25.63,Power plant emissions,Unhealthy for sensitive groups,People with respiratory issues must stay indoors,19.8455
2.642,35.57,33.5,22.64,Power plant emissions,Moderate,Keep an eye on air quality updates hourly,18.071
3.148,54.36,79.53,18.93,Industrial emissions,Unhealthy,Postpone outdoor sports and strenuous activities today,41.339
1.08,38.32,71.32,41.34,Power plant emissions,Unhealthy,Use an air purifier to improve indoor air quality,36.2
4.166,22.45,203.71,3.78,Waste burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,103.938
2.857,10.82,122.0,3.32,Domestic cooking/heating smoke,Unhealthy,Ensure proper ventilation with an air filter system,62.4285
1.502,46.12,94.91,32.96,Industrial emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,48.206
0.822,3.27,293.92,1.31,Construction dust,Hazardous,Evacuate from affected areas if public safety permits,147.371
4.362,11.36,117.09,2.48,Domestic cooking/heating smoke,Unhealthy,Stay indoors with windows and doors securely closed,60.726
3.636,60.8,73.57,32.02,Industrial emissions,Unhealthy,Wear a high-efficiency particulate air mask outdoors,38.603
0.603,1.42,18.96,3.03,Natural background air,Moderate,Continue with normal activities but remain vigilant,9.7815
8.81,62.85,49.57,7.96,Traffic congestion,Unhealthy for sensitive groups,People with respiratory issues must stay indoors,29.19
4.593,14.67,112.7,9.91,Domestic cooking/heating smoke,Unhealthy,Stay indoors with windows and doors securely closed,58.6465
1.497,59.59,49.47,42.25,Power plant emissions,Unhealthy for sensitive groups,Monitor your symptoms and seek medical advice,25.4835
1.597,10.61,155.08,3.67,Construction dust,Very unhealthy,Keep windows sealed and use indoor air circulation,78.3385
1.586,13.59,295.54,2.32,Construction dust,Hazardous,Evacuate from affected areas if public safety permits,148.563
2.83,37.4,77.61,36.46,Power plant emissions,Unhealthy,Ensure proper ventilation with an air filter system,40.22
1.01,2.65,20.32,2.71,Natural background air,Moderate,Stay informed on daily air quality forecasts,10.665
3.989,59.05,81.95,33.33,Industrial emissions,Unhealthy,Wear a high-efficiency particulate air mask outdoors,42.9695
2.966,67.99,57.0,25.8,Industrial emissions,Unhealthy,Ensure proper ventilation with an air filter system,29.983
0.382,11.86,202.26,3.02,Construction dust,Very unhealthy,Wear a certified respirator mask when stepping outside,101.321
0.212,9.42,142.73,9.86,Construction dust,Unhealthy,Avoid all non-essential outdoor physical exertion,71.471
0.759,13.66,231.15,4.12,Construction dust,Very unhealthy,Postpone all unnecessary outdoor travel and work,115.9545
4.177,63.51,31.23,9.61,Traffic congestion,Moderate,Be mindful of your body's health reactions,17.7035
1.903,75.7,55.65,29.97,Industrial emissions,Unhealthy,Ensure proper ventilation with an air filter system,28.7765
1.578,5.26,10.12,1.97,Natural background air,Good,Feel free to engage in all physical activities,5.849
1.884,7.78,8.81,1.17,Natural background air,Moderate,Continue with normal activities but remain vigilant,5.347
3.0,10.22,86.58,2.76,Biomass burning,Unhealthy,Consider wearing an N95 respirator mask outdoors,44.79
7.846,21.12,173.87,5.27,Waste burning,Very unhealthy,"Cancel all outdoor activities, including school sports",90.858
1.254,3.8,264.86,8.18,Construction dust,Hazardous,Follow all official warnings and emergency protocols,133.057
1.806,2.1,2.4,2.12,Natural background air,Moderate,Consider reducing prolonged outdoor physical activity,2.103
3.653,10.95,135.69,1.61,Domestic cooking/heating smoke,Unhealthy,Wear a high-efficiency particulate air mask outdoors,69.6715
2.826,17.74,85.16,9.04,Domestic cooking/heating smoke,Unhealthy,Wear a high-efficiency particulate air mask outdoors,43.993
1.173,75.06,118.87,21.74,Industrial emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,60.0215
2.623,35.99,52.32,42.08,Power plant emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,27.4715
7.162,33.3,30.82,7.38,Traffic congestion,Moderate,Continue with normal activities but remain vigilant,18.991
2.255,9.64,67.32,2.11,Domestic cooking/heating smoke,Unhealthy,Use an air purifier to improve indoor air quality,34.7875
3.827,17.54,193.34,1.49,Biomass burning,Very unhealthy,It is strongly advised to remain indoors now,98.5835
3.833,64.24,110.48,36.27,Industrial emissions,Unhealthy,Postpone outdoor sports and strenuous activities today,57.1565
4.321,6.05,111.86,1.95,Biomass burning,Unhealthy,Postpone outdoor sports and strenuous activities today,58.0905
3.838,12.86,163.6,5.13,Biomass burning,Very unhealthy,Avoid exposure to outdoor air as much as possible,83.719
4.103,17.0,97.33,0.15,Domestic cooking/heating smoke,Unhealthy,Stay indoors with windows and doors securely closed,50.7165
2.16,31.66,65.61,26.1,Power plant emissions,Unhealthy,Wear a high-efficiency particulate air mask outdoors,33.885
6.429,19.72,136.8,1.42,Waste burning,Unhealthy,Postpone outdoor sports and strenuous activities today,71.6145
1.037,6.93,7.86,2.9,Natural background air,Moderate,Consider reducing prolonged outdoor physical activity,4.4485
3.296,24.51,67.01,5.19,Domestic cooking/heating smoke,Unhealthy,Wear a high-efficiency particulate air mask outdoors,35.153
3.409,67.42,72.48,30.65,Industrial emissions,Unhealthy,Stay indoors with windows and doors securely closed,37.9445
6.682,26.05,162.21,7.34,Waste burning,Very unhealthy,"Cancel all outdoor activities, including school sports",84.446
4.032,10.71,126.1,8.24,Domestic cooking/heating smoke,Unhealthy,Postpone outdoor sports and strenuous activities today,65.066
2.756,83.55,65.2,18.69,Industrial emissions,Unhealthy,Stay indoors with windows and doors securely closed,33.978
1.977,6.98,131.42,2.62,Construction dust,Unhealthy,Ensure proper ventilation with an air filter system,66.6985
0.258,6.45,6.87,4.44,Natural background air,Good,Enjoy all outdoor activities with no restrictions,3.564
7.674,26.24,116.41,6.03,Waste burning,Unhealthy,Consider wearing an N95 respirator mask outdoors,62.042
4.716,29.94,201.95,8.2,Waste burning,Very unhealthy,Avoid exposure to outdoor air as much as possible,103.333
1.778,62.05,111.22,36.21,Industrial emissions,Unhealthy,Ensure proper ventilation with an air filter system,56.499
3.211,83.28,65.96,18.3,Industrial emissions,Unhealthy,Ensure proper ventilation with an air filter system,34.5855
0.044,12.04,262.06,2.97,Construction dust,Hazardous,Evacuate from affected areas if public safety permits,131.052
3.265,63.57,109.1,33.48,Industrial emissions,Unhealthy,Ensure proper ventilation with an air filter system,56.1825
4.594,3.87,68.36,4.85,Domestic cooking/heating smoke,Unhealthy,Consider wearing an N95 respirator mask outdoors,36.477
4.939,30.47,151.26,12.41,Waste burning,Very unhealthy,Avoid exposure to outdoor air as much as possible,78.0995
3.998,43.36,118.43,25.77,Industrial emissions,Unhealthy,Postpone outdoor sports and strenuous activities today,61.214
0.296,11.19,0.21,0.84,Natural background air,Moderate,Enjoy outdoor activities but with caution,0.253
0.674,8.54,21.53,0.39,Natural background air,Moderate,Enjoy outdoor activities but with caution,11.102
5.517,0.23,164.74,9.7,Biomass burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,85.1285
4.321,12.31,90.93,8.82,Biomass burning,Unhealthy,Postpone outdoor sports and strenuous activities today,47.6255
3.318,15.26,75.27,6.74,Domestic cooking/heating smoke,Unhealthy,Avoid all non-essential outdoor physical exertion,39.294
6.439,16.02,158.63,1.21,Waste burning,Very unhealthy,Avoid exposure to outdoor air as much as possible,82.5345
1.075,0.74,0.06,1.22,Natural background air,Moderate,Be mindful of your body's health reactions,0.5675
1.722,8.49,3.93,3.45,Natural background air,Moderate,Stay informed on daily air quality forecasts,2.826
1.923,4.69,138.55,5.27,Construction dust,Unhealthy,Use an air purifier to improve indoor air quality,70.2365
1.123,2.56,156.39,3.19,Construction dust,Very unhealthy,It is strongly advised to remain indoors now,78.7565
2.394,28.83,73.15,34.94,Power plant emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,37.772
2.259,72.29,78.43,22.58,Industrial emissions,Unhealthy,Wear a high-efficiency particulate air mask outdoors,40.3445
1.787,11.35,180.43,7.44,Construction dust,Very unhealthy,Use an air filter or purifier in your home,91.1085
3.779,1.33,101.47,6.75,Domestic cooking/heating smoke,Unhealthy,Stay indoors with windows and doors securely closed,52.6245
1.685,7.51,296.67,0.97,Construction dust,Hazardous,Outdoor activities are dangerous for all population groups,149.1775
5.411,10.1,196.09,4.18,Biomass burning,Very unhealthy,It is strongly advised to remain indoors now,100.7505
4.081,5.41,181.28,3.13,Biomass burning,Very unhealthy,Use an air filter or purifier in your home,92.6805
2.234,58.97,66.38,47.76,Power plant emissions,Unhealthy,Stay indoors with windows and doors securely closed,34.307
9.908,56.76,31.01,2.72,Traffic congestion,Moderate,Keep an eye on air quality updates hourly,20.459
7.813,65.09,40.91,6.28,Traffic congestion,Unhealthy for sensitive groups,Sensitive individuals should limit strenuous outdoor efforts,24.3615
1.701,8.26,268.83,3.04,Construction dust,Hazardous,Outdoor activities are dangerous for all population groups,135.2655
3.597,2.58,76.35,5.68,Domestic cooking/heating smoke,Unhealthy,Ensure proper ventilation with an air filter system,39.9735
4.427,10.86,108.1,9.64,Biomass burning,Unhealthy,Postpone outdoor sports and strenuous activities today,56.2635
5.027,28.8,177.42,4.81,Waste burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,91.2235
3.952,61.06,112.69,21.52,Industrial emissions,Unhealthy,Use an air purifier to improve indoor air quality,58.321
9.729,60.7,33.0,6.72,Traffic congestion,Moderate,Be mindful of your body's health reactions,21.3645
5.488,5.63,184.86,1.13,Biomass burning,Very unhealthy,Wear a certified respirator mask when stepping outside,95.174
1.354,12.05,221.58,7.41,Construction dust,Very unhealthy,It is strongly advised to remain indoors now,111.467
4.811,13.73,94.62,3.84,Biomass burning,Unhealthy,Consider wearing an N95 respirator mask outdoors,49.7155
0.48,4.85,153.9,5.77,Construction dust,Very unhealthy,"Cancel all outdoor activities, including school sports",77.19
3.803,16.71,82.75,3.79,Biomass burning,Unhealthy,Use an air purifier to improve indoor air quality,43.2765
4.725,18.97,114.15,6.54,Domestic cooking/heating smoke,Unhealthy,Consider wearing an N95 respirator mask outdoors,59.4375
4.529,71.27,49.72,0.81,Traffic congestion,Unhealthy for sensitive groups,People with respiratory issues must stay indoors,27.1245
7.346,23.72,129.19,10.81,Waste burning,Unhealthy,Avoid all non-essential outdoor physical exertion,68.268
1.211,10.38,9.58,4.35,Natural background air,Moderate,Be mindful of your body's health reactions,5.3955
1.288,26.29,31.0,38.01,Power plant emissions,Moderate,Consider reducing prolonged outdoor physical activity,16.144
0.401,3.23,173.24,1.73,Construction dust,Very unhealthy,It is strongly advised to remain indoors now,86.8205
7.829,20.68,171.79,13.47,Waste burning,Very unhealthy,"Cancel all outdoor activities, including school sports",89.8095
4.977,51.32,27.99,9.97,Traffic congestion,Moderate,Be mindful of your body's health reactions,16.4835
0.31,2.74,9.13,2.16,Natural background air,Good,No precautions are required at this time,4.72
4.646,21.79,183.47,8.55,Waste burning,Very unhealthy,"Cancel all outdoor activities, including school sports",94.058
4.939,19.48,181.8,0.24,Biomass burning,Very unhealthy,Wear a certified respirator mask when stepping outside,93.3695
0.076,1.85,24.66,1.58,Natural background air,Moderate,Keep an eye on air quality updates hourly,12.368
0.993,8.17,4.21,3.8,Natural background air,Good,"Enjoy clean air and sunshine, stay active",2.6015
1.267,78.01,59.81,35.83,Industrial emissions,Unhealthy,Wear a high-efficiency particulate air mask outdoors,30.5385
1.935,46.6,51.42,21.79,Power plant emissions,Unhealthy,Stay indoors with windows and doors securely closed,26.6775
4.854,20.96,132.65,8.23,Domestic cooking/heating smoke,Unhealthy,Postpone outdoor sports and strenuous activities today,68.752
1.449,43.15,43.04,21.26,Power plant emissions,Unhealthy for sensitive groups,Vulnerable populations advised to avoid outdoor exposure,22.2445
4.589,22.15,78.5,7.37,Domestic cooking/heating smoke,Unhealthy,Avoid all non-essential outdoor physical exertion,41.5445
1.873,4.63,276.65,7.64,Construction dust,Very unhealthy,"Cancel all outdoor activities, including school sports",139.2615
2.202,49.83,44.26,39.29,Power plant emissions,Unhealthy for sensitive groups,Sensitive individuals should limit strenuous outdoor efforts,23.231
3.113,23.02,113.02,5.38,Domestic cooking/heating smoke,Very unhealthy,"Cancel all outdoor activities, including school sports",58.0665
1.283,0.35,10.75,4.38,Natural background air,Moderate,Continue with normal activities but remain vigilant,6.0165
4.241,17.44,145.41,4.81,Waste burning,Unhealthy,Stay indoors with windows and doors securely closed,74.8255
2.316,5.56,107.21,6.08,Domestic cooking/heating smoke,Unhealthy,Consider wearing an N95 respirator mask outdoors,54.763
4.692,7.17,159.14,2.4,Biomass burning,Very unhealthy,"Cancel all outdoor activities, including school sports",81.916
1.758,4.72,3.22,2.34,Natural background air,Moderate,Enjoy outdoor activities but with caution,2.489
1.814,8.81,136.29,4.5,Construction dust,Unhealthy,Consider wearing an N95 respirator mask outdoors,69.052
5.933,34.67,213.43,3.73,Waste burning,Very unhealthy,Keep windows sealed and use indoor air circulation,109.6815
4.024,22.1,119.36,4.62,Waste burning,Unhealthy,Ensure proper ventilation with an air filter system,61.692
5.964,9.08,162.9,1.41,Biomass burning,Very unhealthy,Avoid exposure to outdoor air as much as possible,84.432
3.359,45.38,79.81,37.1,Industrial emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,41.5845
1.291,55.82,56.41,34.55,Power plant emissions,Unhealthy,Postpone outdoor sports and strenuous activities today,28.8505
6.609,32.1,34.4,5.42,Traffic congestion,Moderate,Stay informed on daily air quality forecasts,20.5045
8.383,74.96,56.05,7.8,Traffic congestion,Unhealthy,Stay indoors with windows and doors securely closed,32.2165
3.661,72.64,70.73,35.58,Industrial emissions,Unhealthy for sensitive groups,Children and seniors should reduce prolonged exertion outside,37.1955
4.394,33.92,190.3,10.93,Waste burning,Very unhealthy,Keep windows sealed and use indoor air circulation,97.347
4.293,15.59,128.84,0.39,Domestic cooking/heating smoke,Unhealthy,Consider wearing an N95 respirator mask outdoors,66.5665
5.421,9.19,146.04,4.33,Biomass burning,Unhealthy,Wear a high-efficiency particulate air mask outdoors,75.7305
0.181,14.22,167.28,3.37,Construction dust,Very unhealthy,Postpone all unnecessary outdoor travel and work,83.7305
1.199,12.11,2.73,1.99,Natural background air,Moderate,Stay informed on daily air quality forecasts,1.9645
5.38,6.34,183.0,9.06,Biomass burning,Very unhealthy,"Cancel all outdoor activities, including school sports",94.19
7.095,42.88,29.02,6.11,Traffic congestion,Moderate,Enjoy outdoor activities but with caution,18.0575
3.995,17.1,105.64,0.71,Biomass burning,Unhealthy,Stay indoors with windows and doors securely closed,54.8175
2.661,55.97,78.39,26.73,Industrial emissions,Unhealthy,Use an air purifier to improve indoor air quality,40.5255
9.256,60.27,46.02,6.65,Traffic congestion,Unhealthy for sensitive groups,Vulnerable populations advised to avoid outdoor exposure,27.638
2.602,41.34,65.93,38.0,Power plant emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,34.266
2.621,58.24,34.57,25.68,Power plant emissions,Good,No precautions are required at this time,18.5955
5.357,22.65,125.13,9.87,Waste burning,Unhealthy,Consider wearing an N95 respirator mask outdoors,65.2435
8.589,58.5,51.98,4.94,Traffic congestion,Unhealthy for sensitive groups,Monitor your symptoms and seek medical advice,30.2845
0.262,9.01,0.86,2.49,Natural background air,Good,Enjoy all outdoor activities with no restrictions,0.561
9.122,46.53,30.93,5.57,Traffic congestion,Moderate,Continue with normal activities but remain vigilant,20.026
1.476,84.16,111.16,16.7,Industrial emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,56.318
7.803,47.41,29.87,7.94,Traffic congestion,Moderate,Continue with normal activities but remain vigilant,18.8365
4.564,19.55,171.12,1.62,Biomass burning,Very unhealthy,"Cancel all outdoor activities, including school sports",87.842
0.101,0.66,18.01,2.22,Natural background air,Moderate,Enjoy outdoor activities but with caution,9.0555
6.676,29.97,239.98,0.3,Waste burning,Very unhealthy,It is strongly advised to remain indoors now,123.328
1.118,46.98,82.2,38.41,Industrial emissions,Unhealthy,Ensure proper ventilation with an air filter system,41.659
3.976,82.72,65.39,38.33,Industrial emissions,Unhealthy,Postpone outdoor sports and strenuous activities today,34.683
7.909,16.06,199.83,12.59,Waste burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,103.8695
3.03,20.86,144.26,1.86,Domestic cooking/heating smoke,Unhealthy,Postpone outdoor sports and strenuous activities today,73.645
5.171,75.51,45.42,4.01,Traffic congestion,Unhealthy for sensitive groups,Sensitive individuals should limit strenuous outdoor efforts,25.2955
3.824,7.89,131.2,4.11,Biomass burning,Unhealthy,Use an air purifier to improve indoor air quality,67.512
5.706,25.39,113.15,1.32,Waste burning,Unhealthy,Postpone outdoor sports and strenuous activities today,59.428
0.531,13.56,8.02,2.76,Natural background air,Moderate,Be mindful of your body's health reactions,4.2755
1.829,3.13,16.63,0.39,Natural background air,Moderate,Be mindful of your body's health reactions,9.2295
2.581,61.88,60.02,37.28,Industrial emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,31.3005
4.708,75.23,42.68,8.26,Traffic congestion,Unhealthy for sensitive groups,People with respiratory issues must stay indoors,23.694
0.399,5.57,210.8,7.25,Construction dust,Very unhealthy,"Cancel all outdoor activities, including school sports",105.5995
1.071,72.46,92.89,29.12,Industrial emissions,Unhealthy,Stay indoors with windows and doors securely closed,46.9805
0.256,6.38,6.18,3.74,Natural background air,Good,No precautions are required at this time,3.218
5.463,63.92,25.69,1.04,Traffic congestion,Moderate,Keep an eye on air quality updates hourly,15.5765
1.142,11.18,188.83,3.03,Construction dust,Very unhealthy,Postpone all unnecessary outdoor travel and work,94.986
2.332,53.97,30.66,36.72,Power plant emissions,Moderate,Keep an eye on air quality updates hourly,16.496
1.734,9.39,16.73,0.63,Natural background air,Moderate,Stay informed on daily air quality forecasts,9.232
2.336,66.23,75.79,30.23,Industrial emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,39.063
7.562,24.42,185.02,7.5,Waste burning,Very unhealthy,Use an air filter or purifier in your home,96.291
3.742,12.64,73.82,6.24,Domestic cooking/heating smoke,Unhealthy,Avoid all non-essential outdoor physical exertion,38.781
1.488,58.87,77.91,28.18,Power plant emissions,Very unhealthy,Wear a certified respirator mask when stepping outside,39.699
3.877,18.22,170.72,8.05,Biomass burning,Very unhealthy,Wear a certified respirator mask when stepping outside,87.2985
5.359,14.69,126.74,0.25,Biomass burning,Unhealthy,Ensure proper ventilation with an air filter system,66.0495
0.509,7.33,193.93,9.87,Construction dust,Very unhealthy,Avoid exposure to outdoor air as much as possible,97.2195
5.136,16.52,92.98,2.4,Biomass burning,Unhealthy,Consider wearing an N95 respirator mask outdoors,49.058
2.749,6.58,61.06,8.71,Domestic cooking/heating smoke,Unhealthy,Wear a high-efficiency particulate air mask outdoors,31.9045
2.3,59.4,75.59,33.73,Power plant emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,38.945
4.793,62.81,51.11,5.83,Traffic congestion,Unhealthy for sensitive groups,Sensitive individuals should limit strenuous outdoor efforts,27.9515
3.452,0.13,132.6,7.73,Domestic cooking/heating smoke,Very unhealthy,Use an air filter or purifier in your home,68.026
0.605,9.94,3.96,3.44,Natural background air,Good,No precautions are required at this time,2.2825
2.736,1.44,95.8,2.34,Domestic cooking/heating smoke,Unhealthy,Wear a high-efficiency particulate air mask outdoors,49.268
2.958,40.31,55.1,47.39,Power plant emissions,Unhealthy,Wear a high-efficiency particulate air mask outdoors,29.029
7.544,32.39,145.3,3.45,Waste burning,Unhealthy,Wear a high-efficiency particulate air mask outdoors,76.422
3.853,48.4,80.83,38.65,Industrial emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,42.3415
4.493,22.96,137.63,5.37,Waste burning,Unhealthy,Postpone outdoor sports and strenuous activities today,71.0615
3.659,70.06,78.02,25.9,Industrial emissions,Unhealthy,Stay indoors with windows and doors securely closed,40.8395
2.367,46.19,67.74,29.97,Power plant emissions,Unhealthy,Stay indoors with windows and doors securely closed,35.0535
4.322,33.49,213.51,8.8,Waste burning,Very unhealthy,Wear a certified respirator mask when stepping outside,108.916
3.763,7.24,137.23,0.46,Biomass burning,Unhealthy,Ensure proper ventilation with an air filter system,70.4965
5.728,14.44,144.47,8.7,Biomass burning,Unhealthy,Ensure proper ventilation with an air filter system,75.099
1.044,1.11,4.8,4.2,Natural background air,Moderate,Keep an eye on air quality updates hourly,2.922
2.866,57.37,55.12,30.51,Power plant emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,28.993
